id y.repeated y.trend time sex
199 1.02 7.16 1 0
43 1.55 5.11 1 0
74 1.07 0.54 1 1
232 3.01 -0.43 1 1
204 2.15 1.45 1 1
295 2.06 0.79 1 0
384 1.17 1 1 1
340 1.37 4.7 1 1
67 1.4 -6.13 1 0
287 1.06 3.09 1 0
216 2.97 4.66 1 1
45 2.06 4.66 1 0
28 2.45 2.02 1 1
158 1.21 1.85 1 1
46 0.36 1.92 1 1
136 2.12 5.58 1 1
331 -0.32 2.43 1 0
143 0.02 2.63 1 0
30 0.84 4.28 1 1
315 0.86 4.31 1 0
104 3.01 5.4 1 1
125 1.56 3.72 1 0
260 2.37 6.2 1 1
214 2.78 3.51 1 1
155 1.97 4.34 1 0
338 2.84 1.23 1 1
127 1.48 -1.08 1 0
382 1.46 4.08 1 1
284 2.1 0.44 1 1
122 0.59 6.25 1 1
6 2 3.21 1 1
181 1.57 -1.3 1 0
34 1.44 1.72 1 1
360 0.18 0.82 1 1
32 0.97 4.49 1 1
111 1 6.72 1 0
283 2.34 2.75 1 0
355 0.17 4.86 1 0
321 -0.3 1.7 1 0
107 2.67 0.02 1 0
162 3.2 3.05 1 1
270 1.91 6.91 1 1
73 1.47 5.55 1 0
294 1.58 1.26 1 1
84 1.71 4.11 1 1
89 0.6 -0.36 1 0
105 2.15 2.73 1 0
217 1.82 -0.35 1 0
123 0.22 3.3 1 0
186 1.75 5.47 1 1
322 1.42 8.79 1 1
129 2.13 5.59 1 0
339 0.59 6.26 1 0
39 1.2 4.91 1 0
313 1.41 1.71 1 0
272 2.39 1.77 1 1
78 1.55 1.83 1 1
241 0.79 3.02 1 0
307 1.72 3.11 1 0
375 1.6 5.49 1 0
85 1.81 5.04 1 0
377 0.83 7.07 1 0
265 1.8 1.69 1 0
179 1.97 -0.13 1 0
337 -0.1 2.46 1 0
137 0.67 -1.92 1 0
264 1.84 6 1 1
83 1.08 -1.74 1 0
113 1.67 -1.1 1 0
266 1.76 1 1 1
